old_ethnic,Date,rainfall
HAMYAN,2014-01-01T00:00:00,0.036008989091527575
HAMAR,2014-01-01T00:00:00,0.0587751210402064
HAMAMA,2014-01-01T00:00:00,0.03268083683870666
HADIMU,2014-01-01T00:00:00,0.1619262638425392
HADENDOWA,2014-01-01T00:00:00,0.02036765333348057
HABBANIA,2014-01-01T00:00:00,0.07084656042953981
HA,2014-01-01T00:00:00,0.11937004572832481
GYRIAMA,2014-01-01T00:00:00,0.08689670043107893
GWANDARA,2014-01-01T00:00:00,0.1397991703581179
GUSII,2014-01-01T00:00:00,0.16633077885417397
GURO,2014-01-01T00:00:00,0.1617874174877997
GURMA,2014-01-01T00:00:00,0.08722282111972102
GURENSI,2014-01-01T00:00:00,0.10576497960746839
GURAGE,2014-01-01T00:00:00,0.11467383676368599
GUN,2014-01-01T00:00:00,0.17658682171287912
GUMUZ,2014-01-01T00:00:00,0.17413914198807823
GULE,2014-01-01T00:00:00,0.11268558703219987
GULA,2014-01-01T00:00:00,0.12856552976707242
GUIN,2014-01-01T00:00:00,0.1400999879385163
GUDE,2014-01-01T00:00:00,0.10432105438322915
GUANG,2014-01-01T00:00:00,0.11712450111298198
GUANCHE,2014-01-01T00:00:00,0.03498575333530296
GRUNSHI,2014-01-01T00:00:00,0.10419459457131887
GREBO,2014-01-01T00:00:00,0.2554631600888622
GOSHA,2014-01-01T00:00:00,0.07182366316752375
GOROA,2014-01-01T00:00:00,0.09234568216049352
GOMANI,2014-01-01T00:00:00,0.11665900565931744
GOLA,2014-01-01T00:00:00,0.2672610581478936
GOGO,2014-01-01T00:00:00,0.08592902683120998
GOBU,2014-01-01T00:00:00,0.17689414427912847
GISU,2014-01-01T00:00:00,0.15671443328996004
GISIGA,2014-01-01T00:00:00,0.08111222868938155
GIMMA,2014-01-01T00:00:00,0.06268378225944451
GIMIRA,2014-01-01T00:00:00,0.20560419567342406
GILI,2014-01-01T00:00:00,0.130027131708044
GIL,2014-01-01T00:00:00,0.0288473205043082
FAJULU,2014-01-01T00:00:00,0.14929293717947414
EWE,2014-01-01T00:00:00,0.12851362500787292
ESA,2014-01-01T00:00:00,0.05387008783650701
EKONDA,2014-01-01T00:00:00,0.20335621893035838
EKOI,2014-01-01T00:00:00,0.33335828547564716
EKITI,2014-01-01T00:00:00,0.18225747817103582
EGYPTIANS,2014-01-01T00:00:00,0.0023586876189971703
EGEDE,2014-01-01T00:00:00,0.243604213158534
EGBA,2014-01-01T00:00:00,0.15789711936666842
EDO,2014-01-01T00:00:00,0.22768852217877125
EBRIE,2014-01-01T00:00:00,0.2045728752392767
DZING,2014-01-01T00:00:00,0.18065516357514422
DZEM,2014-01-01T00:00:00,0.1926015758111992
DURUMA,2014-01-01T00:00:00,0.09547574408975233
DURU,2014-01-01T00:00:00,0.15698060283154552
DUMA,2014-01-01T00:00:00,0.21850617880484444
DUI-MENIA,2014-01-01T00:00:00,0.01951213884505205
DUALA,2014-01-01T00:00:00,0.3287739079418548
DUAISH,2014-01-01T00:00:00,0.020136180763764704
DRAWA,2014-01-01T00:00:00,0.03262617516615836
DOROSIE,2014-01-01T00:00:00,0.12981787243327744
DOROBO,2014-01-01T00:00:00,0.12571768448559043
DOGON,2014-01-01T00:00:00,0.06925411037535946
DIULA,2014-01-01T00:00:00,0.1248775711371253
DIOLA,2014-01-01T00:00:00,0.12682095526072956
DINKA,2014-01-01T00:00:00,0.10224095594003824
DILLING,2014-01-01T00:00:00,0.07250537263433979
DIGO,2014-01-01T00:00:00,0.11788804079757764
DIDINGA,2014-01-01T00:00:00,0.10729888125822278
DIDA,2014-01-01T00:00:00,0.20870261138243987
DIAN,2014-01-01T00:00:00,0.11719846729375345
DIALONKE,2014-01-01T00:00:00,0.14725170162755621
DERA,2014-01-01T00:00:00,0.11570513056033307
DENDI,2014-01-01T00:00:00,0.07970024732841068
DELIM,2014-01-01T00:00:00,0.00331864485112315
DEKAKIRI,2014-01-01T00:00:00,0.07433907316164018
DEFORO,2014-01-01T00:00:00,0.06399618896971367
DAZA,2014-01-01T00:00:00,0.010960713137498539
DARI,2014-01-01T00:00:00,0.11682201987013213
DARASA,2014-01-01T00:00:00,0.16783128666734243
DAN,2014-01-01T00:00:00,0.18675463189180466
DAMA,2014-01-01T00:00:00,0.13379046127014396
DAKHLA,2014-01-01T00:00:00,3.8424536333210536E-4
DAKA,2014-01-01T00:00:00,0.15477283076550027
DAGU,2014-01-01T00:00:00,0.053627450650501285
DAGOMBA,2014-01-01T00:00:00,0.12267555528295387
DAGARI,2014-01-01T00:00:00,0.10968038999631208
DAFI,2014-01-01T00:00:00,0.09735105442510719
CYRENAICANS,2014-01-01T00:00:00,0.04522406922347852
COMORIANS,2014-01-01T00:00:00,0.14287762279621605
CHUABO,2014-01-01T00:00:00,0.13161353643100707
CHOPI,2014-01-01T00:00:00,0.10167228822806144
CHOKWE,2014-01-01T00:00:00,0.15815751220116792
CHIGA,2014-01-01T00:00:00,0.12328819259431822
CHEWA,2014-01-01T00:00:00,0.10942075825954636
CHAMBA,2014-01-01T00:00:00,0.15966037514890485
CHAKOSSI,2014-01-01T00:00:00,0.11666176428368659
CHAGA,2014-01-01T00:00:00,0.1071928165459843
CHAAMBA,2014-01-01T00:00:00,0.0051921387671354695
CAPE HOTTENTOT,2014-01-01T00:00:00,0.05568350007565322
BWAKA,2014-01-01T00:00:00,0.17598788800773987
BUYE,2014-01-01T00:00:00,0.14576554877615405
BUTAWA,2014-01-01T00:00:00,0.107992427684386
BUSANSI,2014-01-01T00:00:00,0.10224457074208322
BUSA,2014-01-01T00:00:00,0.11835932741086033
BURUNGI,2014-01-01T00:00:00,0.08518465228011163
BURA,2014-01-01T00:00:00,0.09413369047242437
BUNU,2014-01-01T00:00:00,0.15137669366546797
BUNDA,2014-01-01T00:00:00,0.17442534566957407
BULOM,2014-01-01T00:00:00,0.33723700387742866
BULGEDA,2014-01-01T00:00:00,0.005114253559984569
BUILSA,2014-01-01T00:00:00,0.10178486707903547
BUEM,2014-01-01T00:00:00,0.1517882653662035
BUDUMA,2014-01-01T00:00:00,0.0614536848518206
BUDU,2014-01-01T00:00:00,0.17755997078082733
BUDJA,2014-01-01T00:00:00,0.2228150818500484
BUBI,2014-01-01T00:00:00,0.37148255022111965
BUA,2014-01-01T00:00:00,0.10299207857382645
BRONG,2014-01-01T00:00:00,0.1275328869852281
BOZO,2014-01-01T00:00:00,0.06238437671802901
BOSAKA,2014-01-01T00:00:00,0.2533325931559963
BORROM,2014-01-01T00:00:00,0.08772731847681911
BORAN,2014-01-01T00:00:00,0.055732117866371854
BONI,2014-01-01T00:00:00,0.08502838184784975
BONGO,2014-01-01T00:00:00,0.1316038505805243
BONDJO,2014-01-01T00:00:00,0.17895997646523049
BONDEI,2014-01-01T00:00:00,0.15812353680921018
BOMITABA,2014-01-01T00:00:00,0.1816924437110032
BOLEWA,2014-01-01T00:00:00,0.07081733061052028
BOKI,2014-01-01T00:00:00,0.31595695110683897
BOGO,2014-01-01T00:00:00,0.04572123351737163
BOFI,2014-01-01T00:00:00,0.1746058036409267
BOBO,2014-01-01T00:00:00,0.09786582055530661
BISHARIN,2014-01-01T00:00:00,0.00676877488354576
BISA,2014-01-01T00:00:00,0.12869472209556032
BIROM,2014-01-01T00:00:00,0.12190958871462637
BIRKED,2014-01-01T00:00:00,0.04745829942284226
BIRIFON,2014-01-01T00:00:00,0.10926568411088344
BIRA,2014-01-01T00:00:00,0.18832771518527863
BINZA,2014-01-01T00:00:00,0.21709004770672252
BIJOGO,2014-01-01T00:00:00,0.20839633540578084
BIDEYAT,2014-01-01T00:00:00,0.006646501925527129
BIAFADA,2014-01-01T00:00:00,0.19572865707590387
BETSIMISARAKA,2014-01-01T00:00:00,0.22945204421440032
BETSILEO,2014-01-01T00:00:00,0.1357231436706008
BETE,2014-01-01T00:00:00,0.19978792028120093
BERTI,2014-01-01T00:00:00,0.03868754585575567
BERTA,2014-01-01T00:00:00,0.1419767024959122
BERIBERI,2014-01-01T00:00:00,0.031582671840599465
BERGDAMA,2014-01-01T00:00:00,0.025856371130307327
BERABISH,2014-01-01T00:00:00,0.010792218498862131
BERABER,2014-01-01T00:00:00,0.04910164026799798
BENDE,2014-01-01T00:00:00,0.11812186057934904
BENA,2014-01-01T00:00:00,0.15621213625864416
BEMBA,2014-01-01T00:00:00,0.1507346041096669
BEDERIA,2014-01-01T00:00:00,0.04994055508028852
BEDE,2014-01-01T00:00:00,0.05782077332069535
BAYA,2014-01-01T00:00:00,0.16743694401644982
BAULE,2014-01-01T00:00:00,0.1481608393148957
BAUCHI,2014-01-01T00:00:00,0.0928635092912322
BATI,2014-01-01T00:00:00,0.2149734416256612
BATAHIN,2014-01-01T00:00:00,0.02460906564891703
BATA,2014-01-01T00:00:00,0.10988768594810838
BASSA,2014-01-01T00:00:00,0.30145706871162403
BASILA,2014-01-01T00:00:00,0.14679556036065666
